ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Penalization,Trained_Completely
RRQM,16955,1,1,1,FALSE,FALSE,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, -1, 1, 1, 2, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.4645000100135803, 0.5246000289916992, 0.689300000667572, 0.6176999807357788, 0.6518999934196472, 0.673799991607666, 0.7682999968528748, 0.6650999784469604, 0.6348999738693237, 0.7638000249862671, 0.7904999852180481, 0.7616000175476074, 0.7958999872207642, 0.8044999837875366, 0.8019000291824341, 0.7657999992370605, 0.8112000226974487, 0.808899998664856, 0.7954999804496765, 0.794700026512146]","[1.8801217079162598, 1.5207467079162598, 0.8808475732803345, 1.1618335247039795, 1.0284568071365356, 0.9762560725212097, 0.6714415550231934, 1.0906603336334229, 1.1764849424362183, 0.6677150130271912, 0.6045726537704468, 0.7100949883460999, 0.5864606499671936, 0.5658606886863708, 0.5778732299804688, 0.7066619396209717, 0.5467783212661743, 0.5624662041664124, 0.5986762642860413, 0.6234753727912903]",0.794700027,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
USJR,16955,1,1,1,FALSE,FALSE,"[1, 1, 0, 1, 3, 1, 1, 3, 0, 1, 2, 0, 2, -1, 1, 1, 1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.5544000267982483, 0.6644999980926514, 0.6473000049591064, 0.7157999873161316, 0.7444000244140625, 0.7542999982833862, 0.7728999853134155, 0.7601000070571899, 0.7524999976158142, 0.8039000034332275, 0.7623999714851379, 0.8015999794006348, 0.7983999848365784, 0.8011000156402588, 0.826200008392334, 0.7982000112533569, 0.8353000283241272, 0.8335000276565552, 0.8070999979972839, 0.8567000031471252]","[1.3263165950775146, 0.9538349509239197, 1.0426150560379028, 0.8095638155937195, 0.7226043939590454, 0.7029855251312256, 0.6685154438018799, 0.7129455804824829, 0.7273825407028198, 0.5648600459098816, 0.7559292912483215, 0.5902014374732971, 0.6102288961410522, 0.6153945922851562, 0.5127394199371338, 0.6023509502410889, 0.5072183012962341, 0.49428799748420715, 0.5971772074699402, 0.43025922775268555]",0.856700003,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
IUGR,16955,1,1,1,FALSE,FALSE,"[1, 3, 0, 2, -1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 1, 1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.4296000003814697, 0.546500027179718, 0.6647999882698059, 0.608299970626831, 0.6930999755859375, 0.7096999883651733, 0.7092000246047974, 0.7376999855041504, 0.732200026512146, 0.6855000257492065, 0.8025000095367432, 0.689300000667572, 0.7616000175476074, 0.7444000244140625, 0.7731000185012817, 0.7612000107765198, 0.7139000296592712, 0.7598000168800354, 0.7748000025749207, 0.8098000288009644]","[1.8905622959136963, 1.3341094255447388, 0.973036527633667, 1.3119491338729858, 0.8880760669708252, 0.8732608556747437, 0.8574742078781128, 0.7690452933311462, 0.8148695230484009, 1.0504671335220337, 0.5673998594284058, 1.048911452293396, 0.7332732677459717, 0.8127893805503845, 0.6980084180831909, 0.7838211059570312, 0.9882628917694092, 0.7348269820213318, 0.7046487331390381, 0.567345380783081]",0.809800029,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
LPSB,16955,1,1,1,FALSE,FALSE,"[1, 0, 1, 1, 1, 1, 2, -1, 1, 1, 0, 1, 2, -1, 0, 1, 1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.483599990606308, 0.608299970626831, 0.6047000288963318, 0.659600019454956, 0.6491000056266785, 0.7120000123977661, 0.6840000152587891, 0.7009000182151794, 0.736299991607666, 0.7185999751091003, 0.7297999858856201, 0.7567999958992004, 0.777400016784668, 0.7657999992370605, 0.7811999917030334, 0.7304999828338623, 0.7260000109672546, 0.7771000266075134, 0.781499981880188, 0.742900013923645]","[1.4251973628997803, 1.1405081748962402, 1.1292507648468018, 1.0119701623916626, 1.0591809749603271, 0.8217945098876953, 0.8963890671730042, 0.8676335215568542, 0.7449582815170288, 0.8168684840202332, 0.7846362590789795, 0.6884470582008362, 0.6352770328521729, 0.6755551099777222, 0.6307154297828674, 0.7872915267944336, 0.8147763013839722, 0.6383744478225708, 0.6372671723365784, 0.7520599365234375]",0.742900014,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
WJNI,16955,1,1,1,FALSE,FALSE,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 2, -1, 1, 1, 1, 0, 1, 3, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.4713999927043915, 0.633899986743927, 0.5680000185966492, 0.6328999996185303, 0.7469000220298767, 0.7554000020027161, 0.65420001745224, 0.7394999861717224, 0.7317000031471252, 0.7620999813079834, 0.796500027179718, 0.7925000190734863, 0.7567999958992004, 0.7922999858856201, 0.8070999979972839, 0.8084999918937683, 0.7633000016212463, 0.8075000047683716, 0.828000009059906, 0.8091999888420105]","[1.496281623840332, 1.059785008430481, 1.3111368417739868, 1.085586667060852, 0.7184916734695435, 0.7060821056365967, 1.0833766460418701, 0.7547889351844788, 0.8268254995346069, 0.6869251132011414, 0.5941260457038879, 0.6070157885551453, 0.7342063188552856, 0.6231311559677124, 0.579317569732666, 0.5676172971725464, 0.7272258400917053, 0.5663232207298279, 0.5127760171890259, 0.5804151892662048]",0.809199989,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
WYXU,16955,1,1,1,FALSE,FALSE,"[1, 0, 0, 1, 0, 0, 1, 2, 1, 2, -1, 0, 1, 0, 1, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.5297999978065491, 0.5328999757766724, 0.6212999820709229, 0.7242000102996826, 0.6384000182151794, 0.6517999768257141, 0.7487000226974487, 0.695900022983551, 0.6908000111579895, 0.6671000123023987, 0.7365999817848206, 0.7505999803543091, 0.7031999826431274, 0.7494999766349792, 0.7512000203132629, 0.777400016784668, 0.774399995803833, 0.7766000032424927, 0.7516999840736389, 0.7900000214576721]","[1.349674940109253, 1.3794565200805664, 1.0634995698928833, 0.7907899022102356, 1.1162267923355103, 0.9838233590126038, 0.7237467765808105, 0.8432191610336304, 0.881462574005127, 1.0663682222366333, 0.7732331156730652, 0.7080717086791992, 0.8658826947212219, 0.7215126156806946, 0.7186019420623779, 0.6369268298149109, 0.6477773785591125, 0.6413037776947021, 0.7326058149337769, 0.6130025386810303]",0.790000021,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
ATND,16955,1,1,1,FALSE,FALSE,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 2, -1, 1, 1, 3, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.5027999877929688, 0.6345000267028809, 0.6351000070571899, 0.6819999814033508, 0.6861000061035156, 0.6140000224113464, 0.6739000082015991, 0.6887999773025513, 0.6905999779701233, 0.7113000154495239, 0.7003999948501587, 0.7303000092506409, 0.7634000182151794, 0.6499000191688538, 0.7020999789237976, 0.7204999923706055, 0.7519999742507935, 0.7021999955177307, 0.7389000058174133, 0.7537999749183655]","[1.353870153427124, 1.0300827026367188, 1.0826489925384521, 0.897329568862915, 0.8966740369796753, 1.162523865699768, 0.9307136535644531, 0.8688518404960632, 0.8814935684204102, 0.8217079043388367, 0.8744179606437683, 0.7699906826019287, 0.6755468249320984, 1.0862910747528076, 0.8794441223144531, 0.8165608644485474, 0.712268590927124, 0.8847293853759766, 0.7602967023849487, 0.7223895788192749]",0.753799975,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
VIKY,16955,1,1,1,FALSE,FALSE,"[1, 1, 1, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.42969998717308044, 0.546999990940094, 0.609000027179718, 0.6470000147819519, 0.47749999165534973, 0.6696000099182129, 0.6129999756813049, 0.6693000197410583, 0.7067999839782715, 0.6446999907493591, 0.6657999753952026, 0.6952000260353088, 0.7089999914169312, 0.708899974822998, 0.7445999979972839, 0.7325000166893005, 0.715399980545044, 0.7343999743461609, 0.77920001745224, 0.6434999704360962]","[1.6403038501739502, 1.2939863204956055, 1.0874136686325073, 1.0032217502593994, 1.749638319015503, 0.9435588121414185, 1.095116138458252, 0.9705226421356201, 0.8321990370750427, 1.0449813604354858, 0.9491885900497437, 0.8785085678100586, 0.8284037113189697, 0.8228934407234192, 0.7295188307762146, 0.7755743861198425, 0.809429943561554, 0.7605540752410889, 0.6350524425506592, 1.060746431350708]",0.64349997,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
CIKR,16955,1,1,1,FALSE,FALSE,"[1, 0, 1, 1, 3, 1, 1, 3, 1, 2, -1, 1, 1, 3, 1, 1, 2, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.52920001745224, 0.6328999996185303, 0.6628999710083008, 0.6015999913215637, 0.6517999768257141, 0.7175999879837036, 0.6880999803543091, 0.7609000205993652, 0.7904000282287598, 0.7907000184059143, 0.7567999958992004, 0.7712000012397766, 0.8086000084877014, 0.842199981212616, 0.8169999718666077, 0.8321999907493591, 0.7961000204086304, 0.8485999703407288, 0.8307999968528748, 0.8669000267982483]","[1.3004803657531738, 1.0253567695617676, 0.947822630405426, 1.2360069751739502, 1.1301919221878052, 0.8395588994026184, 0.9590490460395813, 0.7120291590690613, 0.6310246586799622, 0.6085484027862549, 0.7381325960159302, 0.6952860951423645, 0.609196126461029, 0.47880321741104126, 0.6012498736381531, 0.49956440925598145, 0.6597187519073486, 0.47153857350349426, 0.49762049317359924, 0.41799312829971313]",0.866900027,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
JRRQ,16955,1,1,1,FALSE,FALSE,"[1, 1, 0, 1, 3, 0, 1, 1, 1, 2, -1, 0, 1, 1, 1, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.5619000196456909, 0.6363999843597412, 0.682699978351593, 0.689300000667572, 0.7361000180244446, 0.7125999927520752, 0.7143999934196472, 0.7342000007629395, 0.7609999775886536, 0.7803999781608582, 0.7696999907493591, 0.7501000165939331, 0.767799973487854, 0.7556999921798706, 0.7706999778747559, 0.8141000270843506, 0.7092000246047974, 0.8008999824523926, 0.7820000052452087, 0.7918999791145325]","[1.204941749572754, 1.0496811866760254, 0.8845008015632629, 0.8693682551383972, 0.7600579857826233, 0.855125367641449, 0.8441421985626221, 0.790486216545105, 0.6933487057685852, 0.620887279510498, 0.7003574371337891, 0.7266964912414551, 0.6826953887939453, 0.7176401019096375, 0.7049734592437744, 0.5299020409584045, 0.8758737444877625, 0.5779930949211121, 0.6555505990982056, 0.6346374750137329]",0.791899979,,,,,,,,,,-1,-1,-1,0,0,0,0,,,FALSE,,0,TRUE
