ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
LC,FALSE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.715600014,0.957665443,156359422,42.85674262,358058,[],[],[],-1,-1,-1
MO,FALSE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.719500005,1.228819966,33090078,41.3660841,898410,[],[],[],-1,-1,-1
LC-MO(1),TRUE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.625899971,2.328223944,216991070,48.35398626,8593834,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(2),TRUE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.709200025,1.482591152,440059070,50.15747976,2067306,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
MO,FALSE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.727699995,1.136175632,33090078,41.31634188,898410,[],[],[],-1,-1,-1
LC,FALSE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.700699985,0.90629065,156359422,42.30486107,358058,[],[],[],-1,-1,-1
MO-LC(1),TRUE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.715399981,1.020729661,32679806,40.97378778,488106,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
MO-LC(2),TRUE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.690599978,1.087634325,156564894,42.45628428,563562,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
MO,FALSE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.726499975,1.06415987,33090078,41.67163682,898410,[],[],[],-1,-1,-1
OP,FALSE,"[1, 1, 2, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.700800002,0.877429962,29846654,38.8597157,285386,[],[],[],-1,-1,-1
MO-OP(1),TRUE,"[1, 0, 0, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.716700017,0.819231927,11031614,37.85159326,176458,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
MO-OP(2),TRUE,"[1, 1, 2, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.662699997,1.36850667,68069918,42.85615492,932586,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M],TRUE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.612399995,2.407497644,481249950,59.52347064,17233738,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 5, 4, 0, 5, 0, 3]",5,6,3
LC-MO(2)[M],TRUE,"[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.681500018,1.396838427,440059070,50.40720201,2067306,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]",2,6,3
MO-LC(1)[M],TRUE,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.720700026,1.133593559,64455262,42.07446051,975242,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]",1,6,2
MO-LC(2)[M],TRUE,"[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 7]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.689800024,1.024716854,206896542,43.94437599,612714,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]",7,2,1
