ID,Seed,Execution,Generation,isChild,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
AD,0,1,1,FALSE,"[1, 1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.69630003,1.022402525,267487070,31.90440488,3536298,[],[],[],-1,-1,-1
PQ,0,1,1,FALSE,"[1, 3, 2, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.608399987,1.110409856,141631854,28.37150788,505226,[],[],[],-1,-1,-1
MC,0,1,1,FALSE,"[1, 0, 0, 1, 0, 2, 2, -1, 1, 1, 3, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.705600023,0.911879957,94104830,27.64679527,2091882,[],[],[],-1,-1,-1
QH,0,1,1,FALSE,"[1, 3, 1, 1, 2, 2, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.617699981,1.086749554,1816199534,53.60564542,2821738,[],[],[],-1,-1,-1
TG,0,1,1,FALSE,"[1, 1, 2, 1, 0, 0, 1, 1, 1, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.62529999,1.081776261,81576302,27.4085269,603850,[],[],[],-1,-1,-1
NB,0,1,1,FALSE,"[1, 3, 1, 1, 1, 2, 1, 3, 1, 2, -1, 0, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.640500009,1.214286923,1278380702,54.04784894,18012234,[],[],[],-1,-1,-1
AH,0,1,1,FALSE,"[1, 0, 2, 3, -1, 0, 1, 1, 2, 3, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.64410001,1.035795569,30819006,25.10064793,368010,[],[],[],-1,-1,-1
YN,0,1,1,FALSE,"[1, 1, 2, 1, 1, 1, 2, -1, 0, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.660700023,0.996854782,141861566,27.63638282,1263690,[],[],[],-1,-1,-1
S,0,1,1,FALSE,"[1, 3, 0, 2, -1, 1, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.682900012,0.914823234,36930926,24.35543609,404970,[],[],[],-1,-1,-1
AW,0,1,1,FALSE,"[1, 3, 0, 1, 3, 0, 1, 1, 0, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.681800008,0.926713407,762786622,37.40941286,1155082,[],[],[],-1,-1,-1
