ID,Seed,Execution,Generation,isChild,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
JM,0,1,1,FALSE,"[1, 0, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 1, 0, 1, 1, 3, 1, 2, -1, 0, 5, 3, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.100000001,2.302618027,281491422,23.05187678,4052682,[],[],[],-1,-1,-1
YH,0,1,1,FALSE,"[1, 0, 0, 1, 3, 0, 2, -1, 0, 1, 3, 1, 1, 2, 0, 1, 3, 1, 2, -1, 0, 5, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.76700002,0.711692929,785749406,33.63876104,7159306,[],[],[],-1,-1,-1
TA,0,1,1,FALSE,"[1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.74879998,0.749120235,142939230,19.44193268,1387658,[],[],[],-1,-1,-1
PU,0,1,1,FALSE,"[1, 0, 0, 2, -1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 2, -1, 1, 5, 3, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.702000022,0.855876565,13984830,19.53748655,689258,[],[],[],-1,-1,-1
KB,0,1,1,FALSE,"[1, 0, 0, 1, 0, 0, 1, 3, 0, 2, -1, 1, 1, 1, 0, 1, 0, 1, 2, -1, 0, 5, 3, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.757300019,0.720089018,106447198,21.18898392,759946,[],[],[],-1,-1,-1
TC,0,1,1,FALSE,"[1, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 2, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.724799991,0.797227323,303627950,24.94922829,461962,[],[],[],-1,-1,-1
FG,0,1,1,FALSE,"[1, 0, 0, 1, 3, 1, 1, 3, 0, 1, 3, 1, 1, 0, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.100000001,2.302618027,2677443294,52.87052035,6841002,[],[],[],-1,-1,-1
LV,0,1,1,FALSE,"[1, 0, 0, 2, -1, 0, 1, 3, 0, 2, -1, 0, 1, 3, 0, 1, 3, 0, 2, -1, 1, 5, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.743200004,0.764424205,95774622,18.1973629,1654154,[],[],[],-1,-1,-1
MC,0,1,1,FALSE,"[1, 0, 0, 2, -1, 1, 1, 2, 0, 1, 1, 1, 2, -1, 0, 1, 0, 0, 2, -1, 0, 5, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.704100013,0.847900569,25590382,17.84808874,295530,[],[],[],-1,-1,-1
JN,0,1,1,FALSE,"[1, 0, 0, 2, -1, 0, 1, 2, 0, 1, 1, 0, 2, -1, 0, 1, 2, 0, 2, -1, 1, 5, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.698199987,0.890134394,34123358,17.93982387,322378,[],[],[],-1,-1,-1
