Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV
1,1,SPC,MPOLY,0.6597649655812339,0.020482765675622502,1312668957.696,849154994.2365524,2695971.488,1330280.411889689,0.6997078348697803,0
1,1,SPC,MNOUNIF,0.6570664392802474,0.022752579972633958,1423748693.888,1081509469.1135828,2949579.424,1646076.2183378572,0.7078879283568885,0
1,1,SPC,NONE,0.6617323922148582,0.019685105702621945,1516243000.96,1187087173.9279244,2943584.416,1609047.5055445358,0.6948075142856818,0
1,1,TPC,MPOLY,0.6608747264147133,0.020449890195276307,1430243986.176,976521076.1159327,2856002.592,1480826.5204850012,0.7013938771639061,0
1,1,TPC,MNOUNIF,0.6586311416420791,0.021094152793153163,1473984654.592,1096408467.29666,3006871.968,1601899.4775419328,0.6967568756304003,0
1,1,TPC,NONE,0.6612781685134594,0.020895012124313956,1448640396.16,1065880521.544701,2931941.664,1595889.7434067398,0.6971222509314938,0
1,1,UC,MPOLY,0.6568190946858783,0.022505585728973352,1323579493.248,989189588.8880745,2624003.36,1386585.3081663905,0.7044659742786725,0
1,1,UC,MNOUNIF,0.655909633408518,0.024306953607681335,1451376685.824,1122506393.0111485,2954790.944,1664449.3820690336,0.7039229041507197,0
1,1,UC,NONE,0.661498524894934,0.021329051048612345,1533130452.096,1205612280.1080291,2987796.64,1643395.5903247963,0.6978640065677589,0
1,1,SBX,MPOLY,0.6588160525751184,0.021012571486843212,1370390132.48,1012199997.5526044,2729997.984,1457306.0830433983,0.7042667098861891,0
1,1,SBX,MNOUNIF,0.6583098051048072,0.021536029107808843,1498817179.904,1153563303.6035635,3011126.304,1608509.5011768502,0.7034290142671112,0
1,1,SBX,NONE,0.6605734503114515,0.02069372674898505,1609214895.36,1323087105.8102942,3164141.216,1796422.816509511,0.6961290050717988,0
1,1,NONE,MPOLY,0.6579698265770068,0.018620646124439613,1628033669.376,1080734891.8917682,3066368.544,1475273.3761730012,0.7016352637164638,0
1,1,NONE,MNOUNIF,0.6576308108397664,0.02061040103776513,1772438004.864,1248010581.8842766,3320162.592,1639998.099893865,0.6987338212240316,0
1,1,NONE,MPOLY,0.6579698265770068,0.018620646124439613,1628033669.376,1080734891.8917682,3066368.544,1475273.3761730012,0.7016352637164638,0,"['SPC_MBFLIP', 'NONE_MPOLY']",{'NONE_MPOLY': 1}
1,2,SPC,MPOLY,0.6600351332097865,0.02112636637014492,1159819389.44,893040463.4975005,2474436.384,1428176.395521343,0.7033119100529371,0.003604075183156863
1,2,SPC,MNOUNIF,0.6604954895411529,0.021350844186936085,1401894379.776,1087615183.4669902,2907468.96,1657562.760218469,0.707790557952902,-9.737040398649643e-05
1,2,SPC,NONE,0.6626786675722388,0.019165851543640682,1124700885.504,804326122.4448283,2478685.216,1315592.2656455862,0.7032604366865507,0.008452922400868923
1,2,TPC,MPOLY,0.6611411634462177,0.021511033486811663,1118902881.536,739897881.0582631,2498825.248,1299087.3299767887,0.7064024815663158,0.005008604402409689
1,2,TPC,MNOUNIF,0.6604604890139235,0.02089459186528606,1404226794.496,1134962279.4007046,2936335.52,1656844.868500831,0.7052426037778587,0.008485728147458405
1,2,TPC,NONE,0.6631995920584306,0.020378133262167655,1185751767.04,893300263.417711,2572161.824,1425784.6859384612,0.7034636791516857,0.0063414282201919026
1,2,UC,MPOLY,0.6605174714643279,0.023145301650634803,1193208609.28,866381431.3710295,2527884.576,1420130.0460199958,0.7106114495937993,0.006145475315126769
1,2,UC,MNOUNIF,0.6610471048899104,0.0195226197159391,1353200022.656,1039392247.7545286,2883484.448,1532306.8649705974,0.708498005228977,0.004575101078257315
1,2,UC,NONE,0.6632061413399521,0.02012166182419068,1164683159.168,834099520.0415692,2598139.936,1417834.9052248579,0.7041942769880534,0.006330270420294437
1,2,SBX,MPOLY,0.6599265135853802,0.02116429517274524,1146996645.12,856767986.4910076,2458487.968,1321539.7334716488,0.714121040325264,0.00985433043907491
1,2,SBX,MNOUNIF,0.6602350029181009,0.022503280849293407,1416129710.72,1139602959.4089074,2933176.096,1628161.2998150843,0.7058264161971158,0.0023974019300045946
1,2,SBX,NONE,0.6631168257164226,0.020455512222635096,1405800972.032,1162037031.710438,2899941.28,1704502.4171446639,0.7039957535608831,0.007866748489084308
1,2,NONE,MPOLY,0.6603228847988476,0.02049689498509407,1393301466.624,1037865499.9316101,2828988.832,1507149.7556478963,0.7021077701668992,0.00047250645043539485
1,2,NONE,MNOUNIF,0.6591716897042581,0.020438220149269593,1457308490.368,1063310605.9649156,2994905.376,1616595.5322041914,0.702276235422834,0.0035424141988024127
1,2,NONE,MPOLY,0.6603228847988476,0.02049689498509407,1393301466.624,1037865499.9316101,2828988.832,1507149.7556478963,0.7021077701668992,0.00047250645043539485,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY']",{'NONE_MPOLY': 2}
