Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,X,
1,1,NONE,MPOLY,0.657969827,0.018620646,1628033669,1080734892,3066368.544,1475273.376,0.701635264,0,"['SPC_MBFLIP', 'NONE_MPOLY']",{'NONE_MPOLY': 1}
1,2,NONE,MPOLY,0.660322885,0.020496895,1393301467,1037865500,2828988.832,1507149.756,0.70210777,0.000472506,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY']",{'NONE_MPOLY': 2}
1,3,UC,MPOLY,0.661948388,0.022524007,991001408.6,701352339,2323753.632,1282781.022,0.708133474,-0.002477976,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY', 'UC_MPOLY']","{'NONE_MPOLY': 2, 'UC_MPOLY': 1}"
1,4,SBX,MPOLY,0.662343975,0.024695513,881310876.2,661492023.6,2149713.312,1339005.541,0.711291788,-0.001271896,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY', 'UC_MPOLY', 'SBX_MPOLY']","{'NONE_MPOLY': 2, 'UC_MPOLY': 1, 'SBX_MPOLY': 1}"
1,5,SBX,MPOLY,0.662475453,0.025129204,733129800.7,523165562.5,1930091.168,1250887.968,0.714928447,0.00363666,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'NONE_MPOLY': 2, 'UC_MPOLY': 1, 'SBX_MPOLY': 2}"
1,6,SBX,MPOLY,0.662935473,0.026472291,687018174.5,541514093.9,1880413.088,1323158.022,0.718691359,0.003762911,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'NONE_MPOLY': 2, 'UC_MPOLY': 1, 'SBX_MPOLY': 3}"
1,7,SBX,MPOLY,0.662831789,0.027551721,650976258,548179699.4,1770684.064,1293253.542,0.719576598,0.000885239,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'NONE_MPOLY': 2, 'UC_MPOLY': 1, 'SBX_MPOLY': 4}"
1,8,SBX,MPOLY,0.66396177,0.027818608,601942926.7,526247233.2,1722896.032,1296716.656,0.725957381,0.006380783,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'NONE_MPOLY': 2, 'UC_MPOLY': 1, 'SBX_MPOLY': 5}"
1,9,SBX,MPOLY,0.666051885,0.02519283,584195823.5,563415460.2,1703785.248,1346423.496,0.727212445,0.001255064,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'NONE_MPOLY': 2, 'UC_MPOLY': 1, 'SBX_MPOLY': 6}"
1,10,SBX,MPOLY,0.664744725,0.026592135,538805745.2,527973904.2,1524735.52,1214628.257,0.727443052,0.000230607,"['SPC_MBFLIP', 'NONE_MPOLY', 'NONE_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'NONE_MPOLY': 2, 'UC_MPOLY': 1, 'SBX_MPOLY': 7}"
