Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,X,
1,1,SPC,MPOLY,0.66123997,0.01978177,1369573846,941568884.8,2883776.16,1519202.287,0.686801,0,,
1,1,SPC,MNOUNIF,0.659111114,0.019957052,1563155638,1085088266,3013308.32,1656147.059,0.689518232,0,,
1,1,SPC,NONE,0.661599801,0.018892301,1545772727,1114310907,3023009.44,1803623.096,0.670339064,0,,
1,1,TPC,MPOLY,0.655843953,0.023490604,1443007281,1042653682,2894921.12,1656490.754,0.675447883,0,,
1,1,TPC,MNOUNIF,0.657513798,0.02232813,1762247727,1406967058,3245286.56,1778504.865,0.681266245,0,,
1,1,TPC,NONE,0.662318602,0.020668465,1580352712,1235886617,3079330.72,1840525.213,0.684385467,0,,
1,1,UC,MPOLY,0.660068728,0.02178797,1387686337,963815483.3,2773785.76,1575649.946,0.686872194,0,,
1,1,UC,MNOUNIF,0.65802709,0.022307447,1635003635,1123881981,3317801.12,1743593.822,0.686849382,0,,
1,1,UC,NONE,0.660313358,0.020959961,1512669079,1227907413,3009764,1781498.994,0.68385146,0,,
1,1,SBX,MPOLY,0.662092588,0.018166966,1482366322,1061311574,3043230.88,1666318.654,0.680796724,0,,
1,1,SBX,MNOUNIF,0.656288892,0.020995846,1471469262,1200856409,2978389.92,1766994.671,0.687787088,0,,
1,1,SBX,NONE,0.662710464,0.019900357,1643537501,1253092483,3149304.48,1827124.577,0.683666171,0,,
1,1,NONE,MPOLY,0.659023899,0.017325686,1782856640,1220043151,3203645.6,1633643.76,0.677914313,0,,
1,1,NONE,MNOUNIF,0.65855926,0.020721697,1916882726,1410226067,3496649.12,1765703.177,0.671266099,0,,
1,1,NONE,MNOUNIF,0.65855926,0.020721697,1916882726,1410226067,3496649.12,1765703.177,0.671266099,0,"['SPC_MBFLIP', 'NONE_MNOUNIF']",{'NONE_MNOUNIF': 1}
1,2,SPC,MPOLY,0.660094227,0.024362159,1315742196,1058929212,2947767.2,1981744.646,0.680900285,-0.005900714,,
1,2,SPC,MNOUNIF,0.663094633,0.01934961,1639250692,1167362252,3307200.16,1807752.284,0.677644854,-0.011873379,,
1,2,SPC,NONE,0.66237819,0.019120921,1296332114,1052780675,2708562.08,1699365.007,0.673667357,0.003328293,,
1,2,TPC,MPOLY,0.662803395,0.01768785,1280145160,1143081010,2683666.08,1632992.166,0.679903929,0.004456046,,
1,2,TPC,MNOUNIF,0.659167479,0.023175225,1544213398,1290828431,3114072.48,1853217.826,0.679996191,-0.001270054,,
1,2,TPC,NONE,0.665574472,0.02095556,1581002144,1195210257,3122973.6,1867326.216,0.676004668,-0.008380799,,
1,2,UC,MPOLY,0.662638659,0.020668285,1459650770,1103848066,2983031.2,1831499.295,0.682971385,-0.003900809,,
1,2,UC,MNOUNIF,0.66318714,0.018690181,1472037128,1063122097,3202232.48,1837917.677,0.687206395,0.000357013,,
1,2,UC,NONE,0.662776602,0.019430371,1356796721,1122204593,2798903.2,1752397.659,0.673442365,-0.010409095,,
1,2,SBX,MPOLY,0.660578441,0.01936093,1316812243,980994113.8,2739788.96,1645576.21,0.680420206,-0.000376518,,
1,2,SBX,MNOUNIF,0.660307597,0.022333488,1398097466,1083960902,3013354.4,1857661.411,0.695820648,0.00803356,,
1,2,SBX,NONE,0.664826276,0.017158475,1493469455,1155468804,3080655.52,1904849.872,0.675842282,-0.00782389,,
1,2,NONE,MPOLY,0.664404168,0.017848009,1850214807,1338268608,3610657.44,2069427.369,0.688314939,0.010400627,,
1,2,NONE,MNOUNIF,0.658965228,0.022708952,1628571532,1061602758,3332050.08,1867191.302,0.682983949,0.01171785,,
1,2,SBX,MPOLY,0.660578441,0.01936093,1316812243,980994113.8,2739788.96,1645576.21,0.680420206,-0.000376518,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 1}"
1,3,SPC,MPOLY,0.664798285,0.022504739,1107931148,933246749.2,2508385.44,1818267.849,0.6957223,0.014822014,,
1,3,SPC,MNOUNIF,0.660392677,0.019720138,1050853864,754012236.1,2522695.84,1530391.547,0.68827529,0.010630437,,
1,3,SPC,NONE,0.666495708,0.015762818,1003518241,832349298.5,2467579.04,1510994.07,0.692504049,0.018836692,,
1,3,TPC,MPOLY,0.664238305,0.02259878,1110100365,956015972.6,2692885.92,1734598.23,0.691006847,0.011102918,,
1,3,TPC,MNOUNIF,0.663892003,0.017404815,1227848969,935079411.3,2796445.6,1719475.404,0.693257296,0.013261105,,
1,3,TPC,NONE,0.665958508,0.018478048,1175251901,1105998557,2654482.08,1742563.548,0.682432193,0.006427524,,
1,3,UC,MPOLY,0.667618916,0.018506995,1087102181,855929674.7,2583402.4,1634964.704,0.697809003,0.014837619,,
1,3,UC,MNOUNIF,0.659764975,0.022671997,1177018335,931705395.1,2650048.16,1571744.582,0.691585662,0.004379267,,
1,3,UC,NONE,0.664498351,0.020721408,1121256220,1018769629,2617934.24,1738462.99,0.685901824,0.012459459,,
1,3,SBX,MPOLY,0.660607458,0.021001622,986793216,867129121.6,2205094.56,1510843.371,0.698825552,0.018405346,,
1,3,SBX,MNOUNIF,0.66021997,0.020372791,1152041962,925225786.5,2660567.2,1775555.876,0.69688104,0.001060392,,
1,3,SBX,NONE,0.667651897,0.017561616,1370543846,1187303554,3075033.76,1968943.424,0.682706442,0.006864161,,
1,3,NONE,MPOLY,0.662795162,0.019591513,1240169382,1037729231,2654151.84,1723480.006,0.683257038,-0.005057901,,
1,3,NONE,MNOUNIF,0.661590488,0.016350734,1186941850,931348810.6,2589319.84,1481430.868,0.682813556,-0.000170393,,
1,3,UC,MPOLY,0.667618916,0.018506995,1087102181,855929674.7,2583402.4,1634964.704,0.697809003,0.014837619,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 1, 'UC_MPOLY': 1}"
1,4,SPC,MPOLY,0.668322524,0.02110524,948356995.8,706183735.6,2441397.92,1695040.847,0.701811242,0.006088942,,
1,4,SPC,MNOUNIF,0.667114987,0.018501378,998766074.9,856149699.1,2492446.88,1668965.685,0.708023664,0.019748374,,
1,4,SPC,NONE,0.667405479,0.022733753,849957739.5,669008337.3,2251492,1820592.341,0.704529421,0.012025373,,
1,4,TPC,MPOLY,0.6670191,0.021483622,835116801.3,615236514.8,2122402.72,1422535.001,0.7070848,0.016077953,,
