ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by
LYCVMZ[M],0,1,1,1,0.01,True,True,"[5, 3, 8, 5, 7, 7, 12]","['0111', '0010', '1100', '0111', '0100', '0100', '1010']","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.8913241399080534,,,,1871423488,36440202,,,,,,"[5, 4, 8, 5, 3, 7, 12]",0.9518478655174364,0.0,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.0,0.01,23,0,100,0,0.23,0.0,BEST,False,False,150,True,True,GREEDY,TPC_MBFLIP,CROSS
LGKLNR[M],0,1,2,2,0.02,True,True,"[2, 3, 5, 5, 3, 7, 12]","['0011', '0010', '0111', '0111', '0010', '0100', '1010']","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.9125410755805128,,,,3001886720,135559114,,,,,,"[5, 3, 5, 0, 3, 6, 12]",0.9474737161957552,0.0016747714000665,0.5714285714285714,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.02,15,0,100,0,0.15,0.0,BEST,False,False,110,True,True,GREEDY,TPC_MBFLIP,CROSS
LRQULP,0,1,4,4,0.04,True,False,"[6, 6, 5, 8, 3, 7, 12]","['0101', '0101', '0111', '1100', '0010', '0100', '1010']","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.9209721296276387,,,,3285739520,35594250,,,,,,,0.9721966698274832,0.0088870424231081,0.2857142857142857,0.5714285714285714,0.0,0.4285714285714285,0.04,12,0,100,0,0.12,0.0,BEST,False,False,88,True,True,GREEDY,UC_NONE,CROSS
LSBPVG,0,1,10,10,0.1,True,False,"[6, 4, 5, 8, 3, 7, 6]","['0101', '0110', '0111', '1100', '0010', '0100', '0101']","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'CONV': [256, 3]}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.9594267389246196,,,,2078752768,2575370,,,,,,,1.016873189626133,0.0395677531672136,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.1,14,0,100,0,0.14,0.0,BEST,False,False,15,True,True,GREEDY,UC_NONE,CROSS
LLVQMR,0,1,18,18,0.18,True,False,"[6, 4, 5, 8, 3, 7, 12]","['0101', '0110', '0111', '1100', '0010', '0100', '1010']","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.96743632494859,,,,1842243584,34889226,,,,,,,1.019693164895225,0.0007690232352361,0.4285714285714285,0.2857142857142857,0.0,0.1428571428571428,0.18,5,0,100,0,0.05,0.0,BEST,False,False,3,True,True,GREEDY,TPC_NONE,CROSS
LTWPJM,0,1,25,25,0.25,True,False,"[6, 4, 6, 7, 3, 7, 12]","['0101', '0110', '0101', '0100', '0010', '0100', '1010']","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.9702250699137052,,,,6529951744,137282570,,,,,,,1.0263698724684072,0.00021359355282,0.1428571428571428,0.5714285714285714,0.0,0.2857142857142857,0.25,4,0,100,0,0.04,0.0,BEST,False,False,2,True,True,GREEDY,TPC_NONE,CROSS
LCWWNY[M],1,2,1,1,0.01,True,True,"[1, 1, 6, 7, 1, 6, 12]","['0001', '0001', '0101', '0100', '0001', '0101', '1010']","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.9087021270415472,,,,4407076864,136245482,,,,,,"[1, 1, 6, 7, 1, 6, 12]",0.9536746238640892,0.0,0.4285714285714285,0.1428571428571428,0.0,0.0,0.01,24,0,100,0,0.24,0.0,BEST,False,False,118,True,True,GREEDY,UC_MBFLIP,CROSS
LXHIVV,1,2,2,2,0.02,True,False,"[1, 1, 6, 7, 1, 5, 12]","['0001', '0001', '0101', '0100', '0001', '0111', '1010']","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.91843149822196,,,,4330924032,69164778,,,,,,,0.9545277411000436,-0.0005581809269923,0.1428571428571428,0.7142857142857143,0.0,0.1428571428571428,0.02,16,0,100,0,0.16,0.0,BEST,False,False,94,True,True,GREEDY,TPC_NONE,CROSS
LCZHFJ,1,2,4,4,0.04,True,False,"[1, 1, 6, 7, 3, 7, 10]","['0001', '0001', '0101', '0100', '0010', '0100', '1111']","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.9315878709161236,,,,5313202688,36118762,,,,,,,0.970846665236237,0.0031710730870631,0.2857142857142857,0.4285714285714285,0.0,0.4285714285714285,0.04,6,0,100,0,0.06,0.0,BEST,False,False,63,True,True,GREEDY,SPC_NONE,CROSS
LQICKW,1,2,6,6,0.06,True,False,"[1, 1, 6, 7, 3, 5, 12]","['0001', '0001', '0101', '0100', '0010', '0111', '1010']","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",HHSE,NSGA2,,,,,0.9384451350483474,,,,4960233472,69472106,,,,,,,0.9853587352833608,0.0004913337528755,0.1428571428571428,0.2857142857142857,0.0,0.2857142857142857,0.06,3,0,100,0,0.03,0.0,BEST,False,False,49,True,True,GREEDY,TPC_NONE,CROSS
